D;K;O;DATA:;2024-12-12 00:00:00
ANTES DE FINALIZAR FAÇA UMA CONFERÊNCIA NOS ITENS ABAIXO, INDO NESTES ITENS E VERIFICANDO SE FOI LANÇADO OS PREÇOS ;;;;
coluna/ÍTEM;;;;
Q15;SIM;;;
Q16;SIM;;;
Q17;SIM;;;
Q18;SIM;;;
Q19;SIM;;;
Q20;SIM;;;
Q21;SIM;;;
Q22;SIM;;;
Q23;SIM;;;
Q24;SIM;;;
X25;SIM;;;
X26;NÃO;;;
X27;NÃO;;;
X28;NÃO;;;
X29;NÃO;;;
Q65;NÃO;;;
Q66;NÃO;;;
0.00;NÃO;;;
MONTAGEM  -  MATERIAIS, FERRAM., EQUIPAM. e LOCAÇÕES;QUANT.;UNID.;Preço unit.;Preço Total
CHAPA AÇO 500 x 300 x 3/16';248.00;unid.;62.45;15486.51
CIMENTO PORTLAND ( SACO 50 kg );22.00;sacos;40.00;880.00
AREIA MÉDIA;3.30;m³;200.00;660.00
"PARABOLT 5/8"" x 6""";124.00;unid.;12.80;1587.20
"PARABOLT 5/8"" x 6"" ";80.00;unid.;12.80;1024.00
"PARAFUSO p/ escora  M16 x 1 3/4""";496.00;unid.;9.00;4464.00
PARAFUSO p/ Nivelam. M30 x 85 ( pé do P. Normal ) -----------;480.00;unid.;40.00;19200.00
PARAFUSO p/ Nivelam. M30 x 85 ( pé do P. Fecho ) -----------;16.00;unid.;40.00;640.00
PARAFUSO SEXTAVADO M12 x 45 mm;124.00;unid.;1.50;186.00
ARRUELA 16 mm;204.00;unid.;0.35;71.40
BROCA SDS Plus  DIÂMETRO 16 mm x 210 mm;5.00;unid.;35.00;175.00
BORRACHA DE VEDAÇÃO VERTICAL SOPLACAS;0.00;m;76.88;0.00
SELANTE FLEXÍVEL  PU 40 ( sachê 600 ml ) ;2319.00;unid.;30.00;69570.00
D11 ( MC-BAUCHIMIE ) - primer para substrados absorventes ( embalagem: galão de 4 litros );2.00;galão de 4 litros;130.00;260.00
NEOPRENE 50 X 5 X 0,5 cm ;0.00;unid.;15.00;0.00
SISTEMA DE ANCORAGEM PILAR x PISO ( TREJOR );0.00;conjuntos;5000.00;0.00
PLATAFORMA ELEVATÓRIA ARTICULADA (PTA) TIPO 450AJ;107.00;dias;750.00;80250.00
MOBILIZAÇÃO DE PLATAFORMA  ELEVATÓRIA;1.00;unid.;2000.00;2000.00
GUINDASTE 1 - montagem dos painés CAP=;88.00;dias trabalhados;3700.00;325600.00
0.00;0.00;0.00;0.00;0.00
GUINDASTE PARA LAJES;0.00;dias trabalhados;0.00;0.00
MOBILIZAÇÃO DO GUINDASTE 1  ( montagem dos painés );1.00;unid.;5000.00;5000.00
0.00;0.00;0.00;0.00;0.00
0.00;0.00;unid.;0.00;0.00
0.00;0.00;unid.;0.00;0.00
0.00;0.00;dia;2220.00;0.00
0.00;0.00;dia;0.00;0.00
FRETE P/ RETORNAR C/ MATERIAIS E EQUIP. AO FINAL DA OBRA;2.00;frete;10502.00;21004.00
CARRETA CARGA SECA 24 toneladas;;;;
FRETE p/ 1000 km com 0;0.00;fretes;10502.00;0.00
CARGA com pré-moldadados entre lajes e pilares;;;;
FRETE para 1000 km com 0;0.00;fretes;10502.00;0.00
CARGA com  0  vigas;;;;
FRETE para 1000 km com CARRETA LS  capac.= 31 ton ;84.00;unid.;10502.00;882168.00
CARGA c/ 3  painéis ( larg.= 2,40m // espess.= 0,25 m // comp.= 7,3 m );;;;
TRANSPORTE ESPECÍFICO ( ESCREVER NA LINHA ACIMA);;;;
PESO TOTAL TRANSPORTADO;2177.28;ton;;
CABEAMENTOS E TENSIONAMENTOS - MATERIAIS, FERRAM., EQUIPAM. e LOCAÇÕES;QUANT.;UNID.;Preço unit.;Preço Total
CORDOALHA 7 Fios Revestida e Engraxada ArcelorMittal  CP190 RB --;30427.49;kg;14.15;430548.96
0.00;0.00;kg;15.00;0.00
CABEÇA de ANCORAGEM TRIPLA - ASTM A 572-GR50 (160X80X50 mm) ;208.00;unid.;175.00;36400.00
PLACA DE ANCORAGEM ( AÇO ) 80 x 80 x 20 mm  com 1 furos  15,2  mm;0.00;unid.;70.00;0.00
CUNHA DE ANCORAGEM PARA CABO  15,2  mm;624.00;unid.;30.75;19188.00
PORTA CUNHA ABERTA de ANCORAGEM para 1 CABO  15,2  mm;0.00;unid.;61.50;0.00
TAMPA PLÁSTICA PARA ANCORAGEM TRIPLA;208.00;unid.;14.00;2912.00
TAMPA PLÁSTICA PARA ANCORAGEM SIMPLES;0.00;unid.;11.53;0.00
SABONETE LÍQUIDO GEL  PH NEUTRO;19.00;litros;5.00;95.00
TRAPOS;48.00;kg;6.50;312.00
GRAXA;26.00;kg;15.00;390.00
"DISCO DE CORTE PARA AÇO 4 1/2"" X 1/8"" X 7/8"" MARCA STANLEY";208.00;unid.;4.00;832.00
LÂMINA DE SERRA;16.00;unid.;4.20;67.20
CUNHAS DE MADEIRA 8 X 8 X 30 cm para estabilidade painéis junto à base;126.00;unid.;1.90;239.40
ANDAIME Painel Fecho: 8  unid.  2,5 X 1,0 X H=8  m (pisos a c/ 2 m) vol= 168 m³ durante 107 dias;143808.00;m³xdia;0.13;18695.04
ESCADA de ACESSO: 2 unid. de  2,5 X 4,0 X H=8,3 m int/ext /// vol.= 637,44 m³ durante 107 dias;272824.32;m³xdia;;0.00
SOLIDARIZAÇÃO - MATERIAIS, FERRAM., EQUIPAM. e LOCAÇÕES;QUANT.;UNID.;Preço unit.;Preço Total
FORMA de MADEIRA e MADEIRITE h=;61.70;m²;1000.00;0.00
CONCRETO fck 40 Mpa  - slump ( 12 ± 2 cm ) --- somente material;119.00;m³;700.00;0.00
BOMBEAMENTO DE CONCRETO;119.00;m³;200.00;0.00
SIKASWELL-S2 SELANTE HIDROEXPANSÍVEL ( embalagem 300 ml );298.00;unid.;140.00;41720.00
MURAFAN 39 RESINA  DE ADERÊNCIA (embalagm de 18 KG );13.00;unid.;150.00;1950.00
INJEÇÃO E ACABAMENTOS - MATERIAIS, FERRAM., EQUIPAM. e LOCAÇÕES;QUANT.;UNID.;Preço unit.;Preço Total
"VALVULA ESFERA GALVANIZADA 1 1/4""";6.60;unid.;85.00;561.00
"NIPLE DULO GALVANIZADO 1 1/4""";6.60;unid.;10.00;66.00
"TAMPÃO ( CAP ) GALVANIZADO 1 1/4""";6.60;unid.;13.00;85.80
FITA TEFLON;13.00;unid.;3.50;45.50
ARGAMASSA DE INJEÇÃO ( saco 25 kg );33018.00;kg;4.40;145279.20
GROUT;0.00;kg;1.80;0.00
SIKATOP SEAL 107   embalagem: caixa 18 kg  ( A + B );50.00;caixa de 18kg;280.00;14000.00
SIKATOP ARMATEC 108 (embalagem CAIXA 4 KG A+B);1.00;unid.;255.00;255.00
SIKA MONOTOP - 622 ( saco com 25 kg );15.00;sacos;78.00;1170.00
MONTAGEM COMPLETA  ( TRANSPORTE PESSOAL  / REFEIÇÕES / ALOJAMENTOS   );QUANT.;UNID.;Preço unit.;Preço Total
PASSAGEM DE ÔNIBUS NA GRANDE VITÓRIA;0.00;0.00;4.80;0.00
CARRO DE APOIO À OBRA, na grande Vitória;0.00;0.00;180.00;0.00
VIAGEM DE CASA X ALOJAMENTO X CASA ( IDA E VOLTA );18.00;dias (sem;2300.00;41400.00
Carro comum   ( viagem casa x alojamento x casa)     2   veículos;;descanso);;
Carro comum ( viagem alojam. x obra x alojam. )   2 carros;;dias ;180.00;36360.00
2 veículos fazem 75 viagens de ida com 20 km   e 75 viagens de volta 20 km ;;;;
REFEIÇÕES NA OBRA;1054.10;unid.;30.00;31623.00
REFEIÇÕES NO ALOJAMENTO;1831.00;unid.;35.00;64085.00
REFEIÇÕES NA VIAGEM;51.00;unid.;35.00;1785.00
CAFÉ DA MANHÃ NA OBRA;1054.10;unid.;7.50;7905.75
CAFÉ DA MANHÃ NO ALOJAMENTO;389.00;unid.;7.50;2917.50
TÍQUETE REFEIÇÃO;1443.10;unid.;41.00;59167.10
ALOJAMENTO PARA ;114.00;dias;635.00;72390.00
ESTADIA NA VIAGEM ;0.00;pernoites;130.00;0.00
VALE TRANSPORTE LOCAL ( CONSIDERADO MESMO VALOR DA GRANDE VITÓRIA);0.00;unid.;4.80;0.00
CONFECÇÕES - MATERIAIS, FERRAM., EQUIPAM. e LOCAÇÕES;QUANT.;UNID.;Preço unit.;Preço Total
A- PINO PARA MONTAGEM ( no topo do painel ) -----------;480.00;unid.;73.00;35040.00
B- PINO PARA MONTAGEM ( no topo do painel ) ---------;16.00;unid.;118.00;1888.00
C- PINO PARA MOVIMENTAÇÃO ( na face do painel ) ---;960.00;unid.;55.00;52800.00
D- PINO PARA MOVIMENTAÇÃO ( na face do painel ) ---;32.00;unid.;79.00;2528.00
PINO DE MOVIMENTAÇÃO  5  tf /125;0.00;unid.;34.06;0.00
LUVA de Nivelamento M30 x 70 ( no pé do painel ) -----------;480.00;unid.;46.00;22080.00
LUVA de Nivelamento M30 x 70 ( no pé do painel ) -----------;16.00;unid.;46.00;736.00
LUVA para flutuadores TSB-M12 x 50;496.00;unid.;12.70;6299.20
LUVA p/ escora  TSB-M16 x 100;496.00;unid.;30.00;14880.00
"CURVA 90° GALVANIZADA 1 1/4"" ";248.00;unid.;30.00;7440.00
TUBO 2,50 m para BAINHA 3 CABOS ;3328.00;unid.;28.00;93184.00
TUBO 2,50 m para BAINHA 1 CABO;0.00;unid.;11.53;0.00
CONE PARA TUBO 3 CABOS;3289.00;unid.;;0.00
CONE PARA TUBO 1 CABO;0.00;unid.;3.84;0.00
RETROESCAVADEIRA / CAMINHÃO BETONEIRA (PARA CONCRETO);892.68;m³;191.25;170725.60
INSUMOS GERAIS PARA CONCRETO fcK>=25 MPa 24h;892.68;m³;651.59;581663.79
CHAPA DE ANCORAGEM - ASTM A 572-GR50 (200 X 120 X 19 mm) ;208.00;unid.;140.00;29120.00
CHAPA DE ANCORAGEM - ASTM A 572-GR50 (120 X 120 X 16 mm) ;0.00;unid.;70.00;0.00
TELA SOLDADA;0.00;kg;4.90;0.00
AÇO CA-50;71066.27;kg;5.90;419290.97
CORDOALHA 7 fios Arcellor Mittal  CP 190 RB 12,70 mm;26955.97;kg;10.80;291124.52
DISTANCIADOR PLÁSTICO COPLAS cadeirinha  SCP-45/30;13034.88;unid.;0.45;5865.70
ARAME RECOZIDO TORCIDO;1065.99;kg;16.72;17823.42
ISOPOR 3 cm ( folha 50x100 cm);52.00;unid.;2.87;149.24
DESMOLDANTE DENVER SM ECO ;869.00;litros;19.55;16988.95
AGENTE DE CURA hidrocarbonetos parafínicos ( CURING );869.00;litros;8.00;6952.00
D11 ( MC-BAUCHIMIE ) - primer para substrados absorventes ( embalagem: galão de 4 litros );19.00;galão de 4 litros;93.79;1782.05
MAQUINA DE SOLDA MIG EUTECTIC ARC 6200 ;3.33;mês;837.00;2790.00
ARAME PARA SOLDA MIG/MAG 1,2mm;163.00;kg;20.15;3284.45
GÁS MISTURA (cilindro com 6 m³);15.00;cilindro;195.00;2925.00
